,Comparison Date,,,,,
,23/24 Date,26/09/2023,,,,
,24/25 Date,24/09/2024,,,,
Weekly Firms by School and Course (Demo - Fictional Data),25/26 Date,23/09/2025,,,,
,26/27 Date,22/09/2026,,,,
,,,,,,
,Apps and Firms Stats,,,,,
,,23/24,24/25,25/26,26/27,Last Year % Change
,Apps,389,394,447,389,-13.0%
,Firms,67,68,77,67,-13.0%
,,,,,,
Firm Stats,,,,,,
Total Firms,Academic Year,,,,,
School and Course,23/24,24/25,25/26,26/27,,
Digital Arts and Media,67,68,77,67,,
DA3000 - MSc Creative Technology FT,30,37,45,46,,
D300DPFHQ - Immersive Media MSc,18,22,25,19,,
D301DPFHQ - Creative Code MSc,12,15,14,16,,
D302DPFHQ - Virtual Production MSc,,,6,11,,
DA3001 - MA Digital Arts FT,29,24,20,13,,
D310DPFHQ - Digital Storytelling MA,9,8,7,4,,
D311DPFHQ - Games Design MA,14,12,13,9,,
D312DPFHQ - Interaction Design MA,6,4,0,,,
DA3002 - Postgraduate Creative Technology PT 2YR,3,3,6,5,,
D300DPPHQ1 - Immersive Media MSc (2 Years),3,2,4,2,,
D301DPPHQ1 - Creative Code MSc (2 Years),,1,2,3,,
DX505 - PhD (Digital Arts and Media) FT,5,4,6,3,,
DX505DPFHQ - Doctor of Philosophy (PhD),5,4,6,3,,
Grand Total,67,68,77,67,,
