,Comparison Date,,,,,
,23/24 Date,26/09/2023,,,,
,24/25 Date,24/09/2024,,,,
Weekly Firms by School and Course (Demo - Fictional Data),25/26 Date,23/09/2025,,,,
,26/27 Date,22/09/2026,,,,
,,,,,,
,Apps and Firms Stats,,,,,
,,23/24,24/25,25/26,26/27,Last Year % Change
,Apps,557,632,661,505,-23.6%
,Firms,96,109,114,87,-23.7%
,,,,,,
Firm Stats,,,,,,
Total Firms,Academic Year,,,,,
School and Course,23/24,24/25,25/26,26/27,,
Applied Quantum Studies,57,62,62,49,,
AQ3000 - MSc Quantum Technologies FT,29,33,39,31,,
Q300DPFHQ - Quantum Computing MSc,21,26,30,22,,
Q301DPFHQ - Quantum Sensing MSc,8,7,9,5,,
Q302DPFHQ - Photonic Engineering MSc,,,,4,,
AQ3001 - MSc Applied Physics FT,25,26,22,18,,
Q310DPFHQ - Nanoscale Physics MSc,10,9,6,6,,
Q311DPFHQ - Energy Systems MSc,15,17,16,12,,
AX502 - MSc by Research (Applied Quantum Studies) FT,3,3,1,0,,
AX502DPFHQ - Quantum Studies (MSc by Research),2,3,1,0,,
AX503DPFHQ - Physics (MSc by Research),1,0,,,,
Social Futures Institute,39,47,52,38,,
SF3000 - MA Policy and Society FT,23,23,26,16,,
S300DPFHQ - Public Policy MA,16,14,18,11,,
S301DPFHQ - Urban Futures MA,7,9,8,5,,
SF3001 - MSc Behavioural Science FT,12,18,21,15,,
S310DPFHQ - Behavioural Economics MSc,12,13,15,13,,
S311DPFHQ - Community Leadership MSc,,5,6,2,,
SF600 - Professional Practice Awards (30 PGT Credits),4,6,5,7,,
SF600DPPHQ - Postgraduate Certificate in Leadership,4,6,5,7,,
Grand Total,96,109,114,87,,
