                                      Weekly Applications UG (Demo - Fictional Data),,,,,,,Comparison Dates,,,,,,
,,,,,,,Date 25/26,,11/03/2025,,,,
,,,,,,,Date 26/27,,10/03/2026,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,Application & Firm Stats,,,,,,
,,,,,,,,,25/26,26/27,% Change,,
,,,,,,,Applications ,,560,702,+25.4%,,
,,,,,,,Firms,,52,78,+50.0%,,
,,,,,,,,,,,,,
Application Stats,,,,,,Firm Stats,,,,,,,
,,,,,,,,,,,,,
Deferral Status,Not a deferred application,,,,,Deferral Status,Not a deferred application,,,,,,
Finance Fee Group,(All),,,,,Finance Fee Group,(All),,,,,,
,,,,,,,,,,,,,
,Academic Year,,,,,,Column Labels,,,,,,
,25/26,,26/27,,,,25/26,,26/27,,,,
"School, Course & MAS Course",Total Applications,% Change,Total Applications,% Change,,"School, Course & MAS Course",Total Firm ,% Change,Total Firm ,% Change,,,
Applied Quantum Studies,300,,380,26.67%,,Applied Quantum Studies,28,,43,53.57%,,,
AQ100 - Quantum Computing Pathways FT/SW,160,,205,28.13%,,AQ100 - Quantum Computing Pathways FT/SW,15,,24,60.00%,,,
Q100UUFHQ - Quantum Software Engineering BSc(Hons),61,,81,32.79%,,Q100UUFHQ - Quantum Software Engineering BSc(Hons),6,,10,66.67%,,,
Q101UUFHQ - Quantum Data Science BSc(Hons),54,,68,25.93%,,Q101UUFHQ - Quantum Data Science BSc(Hons),5,,8,60.00%,,,
Q102UUFHQ - Computational Photonics BSc(Hons),45,,56,24.44%,,Q102UUFHQ - Computational Photonics BSc(Hons),4,,6,50.00%,,,
AQ200 - Applied Physics Pathways FT/SW,140,,175,25.00%,,AQ200 - Applied Physics Pathways FT/SW,13,,19,46.15%,,,
Q200UUFHQ - Applied Nanophysics BSc(Hons),69,,86,24.64%,,Q200UUFHQ - Applied Nanophysics BSc(Hons),6,,9,50.00%,,,
Q201UUFHQ - Sustainable Energy Systems BEng(Hons),71,,89,25.35%,,Q201UUFHQ - Sustainable Energy Systems BEng(Hons),7,,10,42.86%,,,
Social Futures Institute,260,,322,23.85%,,Social Futures Institute,24,,35,45.83%,,,
SF100 - Policy and Society Pathways FT/SW,132,,164,24.24%,,SF100 - Policy and Society Pathways FT/SW,12,,18,50.00%,,,
S100UUFHQ - Public Policy and Analytics BA(Hons),48,,59,22.92%,,S100UUFHQ - Public Policy and Analytics BA(Hons),4,,6,50.00%,,,
S101UUFHQ - Urban Futures BA(Hons),42,,53,26.19%,,S101UUFHQ - Urban Futures BA(Hons),4,,5,25.00%,,,
S102UUFHQ - Global Citizenship BA(Hons),42,,52,23.81%,,S102UUFHQ - Global Citizenship BA(Hons),4,,7,75.00%,,,
SF200 - Behavioural and Community Studies FT/SW,128,,158,23.44%,,SF200 - Behavioural and Community Studies FT/SW,12,,17,41.67%,,,
S200UUFHQ - Behavioural Economics BSc(Hons),64,,79,23.44%,,S200UUFHQ - Behavioural Economics BSc(Hons),6,,8,33.33%,,,
S201UUFHQ - Community Leadership BA(Hons),64,,79,23.44%,,S201UUFHQ - Community Leadership BA(Hons),6,,9,50.00%,,,
Grand Total,560,,702,25.36%,,Grand Total,52,,78,50.00%,,,
